env_id,delta_y,elapsed_time,goal
0,41.52373504638672,,False
1,62.77735900878906,73.86,True
2,64.46888732910156,75.0,True
3,64.39854431152344,75.0,True
4,42.313316345214844,,False
5,41.17687225341797,,False
6,63.63069152832031,75.0,True
7,53.53675842285156,,False
8,54.22121810913086,,False
9,64.64921569824219,75.0,True
10,53.375553131103516,,False
11,1.0884418487548828,,False
12,63.380149841308594,75.0,True
13,54.515357971191406,,False
14,63.904762268066406,75.0,True
15,41.88963317871094,,False
16,64.94100189208984,75.0,True
17,42.18214416503906,,False
18,64.73493957519531,75.0,True
19,63.86487579345703,75.0,True
20,63.70301818847656,75.0,True
21,63.89910888671875,75.0,True
22,27.23025894165039,,False
23,55.41596984863281,,False
24,63.474510192871094,75.0,True
25,40.33578872680664,,False
26,64.58622741699219,75.0,True
27,64.45214080810547,75.0,True
28,42.66932678222656,,False
29,29.209623336791992,,False
30,41.32667541503906,,False
31,64.05388641357422,75.0,True
32,13.57339859008789,,False
33,0.5202121734619141,,False
34,64.16510009765625,75.0,True
35,63.87291717529297,75.0,True
36,39.4703254699707,,False
37,40.17462921142578,,False
38,64.6072998046875,74.84,True
39,38.73179626464844,,False
40,40.03583908081055,,False
41,63.61712646484375,75.0,True
42,63.58308410644531,75.0,True
43,53.744441986083984,,False
44,41.725318908691406,,False
45,2.6863346099853516,,False
46,54.17683410644531,,False
47,64.11257934570312,75.0,True
48,42.0512809753418,,False
49,2.781106948852539,,False
50,41.910770416259766,,False
51,64.0594711303711,75.0,True
52,42.07795715332031,,False
53,42.61164855957031,,False
54,64.18145751953125,75.0,True
55,63.283103942871094,75.0,True
56,64.7701187133789,75.0,True
57,63.41486358642578,73.4,True
58,64.126953125,75.0,True
59,42.521507263183594,,False
60,23.331918716430664,,False
61,41.36053466796875,,False
62,64.80020141601562,75.0,True
63,39.95079803466797,,False
64,64.48765563964844,75.0,True
65,64.15653228759766,75.0,True
66,64.27367401123047,75.0,True
67,42.82582092285156,,False
68,64.31552124023438,75.0,True
69,0.7277069091796875,,False
70,64.272705078125,75.0,True
71,0.6943378448486328,,False
72,63.92329406738281,75.0,True
73,53.33646011352539,,False
74,27.200319290161133,,False
75,63.89122009277344,75.0,True
76,40.99774169921875,,False
77,63.824241638183594,75.0,True
78,64.38185119628906,75.0,True
79,64.04926300048828,75.0,True
80,53.09562683105469,,False
81,39.27935791015625,,False
82,63.36849594116211,75.0,True
83,41.93606948852539,,False
84,63.69211959838867,75.0,True
85,63.785804748535156,75.0,True
86,42.340919494628906,,False
87,64.19739532470703,75.0,True
88,40.83510208129883,,False
89,64.368896484375,75.0,True
90,64.42280578613281,75.0,True
91,63.67947769165039,75.0,True
92,63.69697570800781,75.0,True
93,43.01614761352539,,False
94,63.857303619384766,75.0,True
95,64.50135040283203,75.0,True
96,39.689353942871094,,False
97,41.32865905761719,,False
98,64.55286407470703,75.0,True
99,41.563079833984375,,False

平均移動距離,50.57527072906494
平均ゴール到達時間,74.942
ゴール到達割合,0.5
